"StateName","Year","ChildPopulation","ScreenInCount","ScreenInPercent","ScreenOutCount","ScreenOutPercent","ReferralCount","refProp","varProp","refRate","varRate"
"oregon",2009,872811,28584,42.1,39301,57.9,67885,0.0777774340607531,8.21805692316874e-08,77.7774340607531,0.0821805692316874
"oregon",2010,872811,29021,40.4,42865,59.6,71886,0.0823614734461413,8.65915543432906e-08,82.3614734461413,0.0865915543432906
"oregon",2011,863767,32169,43.4,42010,56.6,74179,0.0858784834336112,9.08848908522253e-08,85.8784834336112,0.0908848908522253
"pennsylvania",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pennsylvania",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pennsylvania",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pennsylvania",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pennsylvania",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rhode island",2007,233115,7710,62,4733,38,12443,0.0533770885614396,2.16751281462557e-07,53.3770885614396,0.216751281462557
"rhode island",2008,228540,6356,55.2,5168,44.8,11524,0.0504244333595869,2.09511726087125e-07,50.4244333595869,0.209511726087125
"rhode island",2009,226825,6110,56.5,4695,43.5,10805,0.0476358426099416,2.00007358575036e-07,47.6358426099416,0.200007358575036
"rhode island",2010,226825,6825,57.9,4965,42.1,11790,0.0519783974429626,2.17245205079793e-07,51.9783974429626,0.217245205079793
"rhode island",2011,219536,6477,54.7,5359,45.3,11836,0.0539137089133445,2.32340121458675e-07,53.9137089133445,0.232340121458675
"south carolina",2007,1059917,18337,67.2,8956,32.8,27293,0.0257501294912715,2.36688913589029e-08,25.7501294912715,0.0236688913589029
"south carolina",2008,1066227,18206,66.9,9026,33.1,27232,0.0255405274861732,2.33423172944422e-08,25.5405274861732,0.0233423172944422
"south carolina",2009,1080732,17721,64.5,9752,35.5,27473,0.0254207333548003,2.2923832800828e-08,25.4207333548003,0.022923832800828
"south carolina",2010,1080732,18803,65.1,10084,34.9,28887,0.026729105828272,2.40713338088379e-08,26.729105828272,0.0240713338088379
"south carolina",2011,1080555,17444,62.7,10393,37.3,27837,0.0257617613171009,2.32270388559043e-08,25.7617613171009,0.0232270388559043
"south dakota",2007,196890,3627,25,10854,75,14481,0.0735486820051806,3.46077877903811e-07,73.5486820051806,0.346077877903811
"south dakota",2008,198309,3589,24.9,10816,75.1,14405,0.0726391641327423,3.39685621766228e-07,72.6391641327423,0.339685621766228
"south dakota",2009,199616,3920,25.5,11454,74.5,15374,0.0770178743186919,3.56114346315536e-07,77.0178743186919,0.356114346315536
"south dakota",2010,199616,3838,25.2,11390,74.8,15228,0.0762864700224431,3.53012005620581e-07,76.2864700224431,0.353012005620581
"south dakota",2011,203156,3907,25,11716,75,15623,0.0769014944180827,3.49424356525765e-07,76.9014944180826,0.349424356525765
"tennessee",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tennessee",2008,1478594,61346,63.1,35878,36.9,97224,0.0657543585324978,4.15467145588833e-08,65.7543585324978,0.0415467145588833
"tennessee",2009,1493252,57143,63.2,33204,36.8,90347,0.0605035184952038,3.80664768872932e-08,60.5035184952038,0.0380664768872932
"tennessee",2010,1493252,59487,66.8,29538,33.2,89025,0.0596182024199532,3.75448165213686e-08,59.6182024199532,0.0375448165213686
"tennessee",2011,1492136,59288,63.2,34511,36.8,93799,0.0628622323970469,3.94806989008419e-08,62.8622323970469,0.0394806989008419
